location_id,city,province,island,latitude,longitude,demand_units,population_2023,gdp_per_capita_million_idr,distance_to_nearest_port_km,logistics_cost_index
L001,Central Jakarta,DKI Jakarta,Java,-6.1862,106.8063,15000,1200000,185.5,5,1.0
L002,West Jakarta,DKI Jakarta,Java,-6.1802,106.7470,12000,980000,175.2,8,1.0
L003,East Jakarta,DKI Jakarta,Java,-6.2251,106.9004,13500,1150000,168.3,12,1.05
L004,South Jakarta,DKI Jakarta,Java,-6.2607,106.8106,11000,1050000,190.1,10,1.0
L005,North Jakarta,DKI Jakarta,Java,-6.1213,106.8997,9000,850000,155.8,2,0.95
L006,Surabaya,East Java,Java,-7.2575,112.7521,12000,2950000,125.4,3,1.1
L007,Bandung,West Java,Java,-6.9175,107.6191,9500,2600000,110.2,180,1.25
L008,Medan,North Sumatra,Sumatra,3.5952,98.6722,8000,2450000,98.7,5,1.3
L009,Semarang,Central Java,Java,-6.9934,110.4203,7000,1800000,105.3,2,1.1
L010,Makassar,South Sulawesi,Sulawesi,-5.1477,119.4327,6000,1600000,88.5,1,1.4
L011,Palembang,South Sumatra,Sumatra,-2.9761,104.7754,5000,1650000,82.3,45,1.35
L012,Tangerang,Banten,Java,-6.1783,106.6319,8500,2100000,120.5,20,1.1
L013,Depok,West Java,Java,-6.4025,106.7942,7500,1900000,115.8,35,1.15
L014,Bekasi,West Java,Java,-6.2349,106.9896,8000,2000000,118.2,25,1.1
L015,Yogyakarta,Special Region of Yogyakarta,Java,-7.7972,110.3688,4500,420000,95.6,60,1.2
L016,Denpasar,Bali,Bali,-8.6705,115.2126,5500,900000,142.3,5,1.25
L017,Balikpapan,East Kalimantan,Kalimantan,-1.2676,116.8289,4000,750000,135.8,2,1.45
L018,Samarinda,East Kalimantan,Kalimantan,-0.5022,117.1536,3500,850000,128.4,80,1.5
L019,Banjarmasin,South Kalimantan,Kalimantan,-3.3186,114.5944,3000,700000,95.2,5,1.45
L020,Pontianak,West Kalimantan,Kalimantan,-0.0263,109.3425,2800,680000,87.6,10,1.5
L021,Manado,North Sulawesi,Sulawesi,1.4748,124.8421,2500,450000,92.4,5,1.6
L022,Pekanbaru,Riau,Sumatra,0.5333,101.4500,4000,1100000,110.5,180,1.4
L023,Malang,East Java,Java,-7.9797,112.6304,5000,860000,102.3,80,1.2
L024,Solo,Central Java,Java,-7.5661,110.8316,4500,530000,98.7,100,1.2
L025,Bogor,West Java,Java,-6.5971,106.8060,6000,1100000,105.4,70,1.15
L026,Jambi,Jambi,Sumatra,-1.6101,103.6131,2500,600000,78.5,120,1.45
L027,Kupang,East Nusa Tenggara,Nusa Tenggara,-10.1772,123.6070,1500,420000,52.3,5,1.8
L028,Ambon,Maluku,Maluku,-3.6554,128.1908,1200,380000,65.4,5,1.9
L029,Jayapura,Papua,Papua,-2.5337,140.7181,1000,320000,78.2,5,2.1
L030,Mataram,West Nusa Tenggara,Nusa Tenggara,-8.5833,116.1167,2000,490000,72.8,10,1.7
